name,method,ingredients,category
Greek rustic chicken pie ,"Place a ,pan, over high heat.,Thinly slice, the onion and bell peppers and mince the garlic.,Add 2-3 tablespoons of olive oil, the coriander and chili flakes in the pan to infuse the oil.,Add the vegetables and sugar. Sauté for 3-4 minutes until they caramelize.,Place another pan over high heat and add 1-2 tablespoon olive oil.,Cut the chicken into small pieces and add it to the pan. Sauté for 5-10 minutes until golden.,To both pans, add 1 teaspoon of dry oregano, salt and pepper. Mix.,As soon as the chicken becomes golden, transfer it to the pan with the bell peppers.,Add the tomato paste, mix and sauté.,Add the wine and allow it to evaporate. Remove pan from heat and transfer filling to a bowl.,Crumble the feta with your ,hands, and add it to the pan along with the grated gruyere, oregano and thyme.,Mix and set aside until needed.,Preheat oven to 170* C (338* F) Fan.,Brush a ,28x36 cm baking pan, with olive oil and spread the first sheet of phyllo dough in it. ,Drizzle with olive oil,.,Add another 2 sheets of phyllo dough, vertically to the first sheet and drizzle with olive oil.,Add 1 more sheet of phyllo dough, vertically to the first sheet and add all of the filling over it.,Cover with the remaining sheets of phyllo dough, following the same process as above.,Drizzle the surface with the remaining olive oil and turn the edges inward to create a thick crust.,Score the pie into 12 pieces and bake for 1 hour on a high rack in the oven.,When ready, remove from oven and allow to cool before serving."," 1 onion , 1 clove(s) of garlic , 1 red bell pepper , 1 yellow bell pepper , 1 green bell pepper , 4-5 tablespoon(s) olive oil , 1 tablespoon(s) coriander, seeds  , 1 teaspoon(s) chili flakes , 1 tablespoon(s) granulated sugar , 900 g chicken, boiled  , 1 tablespoon(s) oregano, dry  , salt , pepper , 1 tablespoon(s) tomato paste , 50 g white wine , thyme , 150 g feta cheese , 150 g gruyere cheese, grated   , 700 g phyllo dough sheets , 100 g olive oil ",Savory pies and Tarts
Vegan cauliflower gyros,"Preheat the oven to 180,ο, C (350,ο, F) set to fan.,In a bowl add the sugar, the garlic, the paprika, the oregano, the olive oil, the mustard, salt, pepper, and mix well until there is a paste.,Line a ,baking pan, with a rack with aluminum foil, parchment paper, and put the cauliflower on top.,Spread the paste over the whole surface of the cauliflower and wrap it very well.,Bake it covered for 1 ½ hours. Uncover and bake for 30 more minutes.,Cut, the cabbage into thin strips add it to a bowl. Add the vinegar, the olive oil, salt, pepper and press the cabbage well with your hands in order to crush and marinate it.,Cut the onion into thin slices, finely chop the parsley, and set them aside.,Cut the tomato into thin slices and set aside.,Cut the cauliflower into small pieces and add it to a bowl.,Cut an Arabic pita bread in half and fill it with a little cabbage, cauliflower, onion, parsley, tomato, mustard, and wrap.,Follow the same process for all the pitas and serve."," 3 tablespoon(s) granulated sugar , 3 teaspoon(s) garlic , 3 teaspoon(s) cumin , 3 tablespoon(s) paprika, smoked , 3 teaspoon(s) oregano , 150 g olive oil , 80 g mustard, hot , salt , pepper , 900 g cauliflower , 200 g cabbage , 1-2 tablespoon(s) vinegar, from wite wine , 2 tablespoon(s) olive oil , salt , pepper , 1/2 onion , 2 tablespoon(s) parsley , 1 tomato , 50 g mustard, hot , salt , 5-6 pita breads ",Vegetables
Halloumi zucchini and cherry tomato skewers ,"Combine all of the ingredients for the marinade in a ,bowl, and refrigerate until needed.,Soak the wooden souvlaki skewers in water for 30 minutes. We can also use ,stainless steel skewers,.,Cut, the zucchini in half, lengthwise and then cut into half moon slices that are 1 ½ - 2 cm thick.,Cut the onion into 6 pieces and separate its layers.,Thread the zucchini, cheese, onions and cherry tomatoes on the skewers, alternating.,Brush with marinade and grill on a bbq."," 2 zucchinis, medium  , 1 onion, dry, large  , 250 g haloumi cheese, cut into 2 cm cubes , 16 cherry tomatoes , 1 tablespoon(s) olive oil , 2 tablespoon(s) lemon juice , 2 teaspoon(s) thyme , 1 teaspoon(s) mustard, dijon  ",Vegetables
Vegetable tempura ,"In a ,pot, add the sugar, the vinegar, the coriander, the chili flakes, salt, and transfer over high heat.,Let it come to a boil until the sugar melts.,At the same time, cut the zucchini and the carrot into 1 cm thin rounds and add them into a bowl.,Cut, the broccoli and the cauliflower into small florets and add them to the bowl with the other veggies.,Add the vegetables into the pot and let them come to a boil.,Transfer the whole mixture into a bowl and cover with plastic wrap. Make sure that the plastic wrap touches the vegetables so that they will remain submerged into the brine.,Refrigerate for 2-3 hours until chilled and marinated.,Drain the vegetables and add them into a baking pan along with the corn starch. Toss to coat.,Place a ,frying pan, with the sunflower oil over medium heat.,In a bowl add the corn starch, the flour, the vegetable bouillon powder, and mix.,Add the ice-cold club soda and whisk until there is a nice batter.,Dip the vegetables into the tempura batter and transfer to the hot oil.,Fry in batches for 1-2 minutes, until they are golden and crispy. Remove and place on paper towels.,In a bowl add the yogurt, the paprika, the curry, the lime juice, the vegetable bouillon powder, and mix.,Serve the vegetables with the yogurt sauce, the sweet and sour sauce, and coriander."," 400 g granulated sugar , 400 g vinegar, of white wine , 1 teaspoon(s) coriander, seeds , 1/2 teaspoon(s) chili flakes , salt , 1 zucchini , 1 carrot , 100 g broccoli , 100 g cauliflower , 100 g corn starch , 300 ml sunflower oil , 40 g corn starch , 140 g all-purpose flour , 1 level teaspoon(s) vegetable bouillon powder , 330 g club soda, chilled , 200 g strained yogurt , 1 teaspoon(s) paprika , 1 teaspoon(s) curry , lime juice, of 1/2 lime , 1 level teaspoon(s) vegetable bouillon powder ,   ,sweet chili sauce, , coriander ",Vegetables
Vegetable ceviche,"In a bowl add the juice of the grapefruit, the orange, the lemon, and the lime. Add ¼ of the marinade into another bowl and set aside.,With a ,mandoline slicer, cut the fennel bulb into thin slices, add it to the first bowl, and mix.,Follow the same process for the zucchini, the artichoke, and add them into the bowl with the fennel bulb.,Cut the beetroot into thin slices and add it into the bowl with the ¼ of the marinade. Ideally, the beetroot should be placed in a separate bowl so that it does not color the rest of your vegetables.,Cover the bowls with plastic wrap and make sure it touches the surface of the vegetables so that they will stay immersed into the marinade. Refrigerate for up to 12 hours. The longer you refrigerate them, the better they will be cooked and softened.,Transfer the vegetables to a serving platter. Cut the avocado into cubes and add it to the platter with the veggies.,Add the rocket leaves, salt, pepper, the balsamic cream, and serve."," grapefruit juice, of 1 grapefruit , orange juice, of 1 orange , lemon juice, of 1 lemon , lime juice, of 1 lime , 1/2 fennel bulb , 1 zucchini , 1 artichoke , 1 beetroots , 1 avocado(s) , 50 g rocket , salt , pepper , 1 tablespoon(s) olive oil , 1-2 tablespoon(s) balsamic cream ",Vegetables
Tomato and zucchini ratatouille,"Preheat the oven to 180,ο, C (350,ο, F) set to fan.,Cut the zucchini into 1 cm thick slices and add them into a ,bowl,. ,Cut the tomatoes in half and then into 1 cm thick slices. Add the slices into the bowl with the zucchini. ,Add the garlic, salt, pepper, and the olive oil. Mix well with a spoon.,Place the tomato and zucchini slices alternately into a 20 cm round ,baking pan,.,Pour the rest of the bowl’s olive oil over the slices.,Bake in the oven for 30 minutes, until the zucchinis are tender. ,Remove the baking pan from the oven. ,Sprinkle with the finely chopped parsley and serve."," 1 zucchini , 2 tomatoes , 1 clove(s) of garlic, finely chopped , salt , pepper , 50 g olive oil , 1/4 bunch parsley, finely chopped ",Vegetables
Mushrooms stuffed with spinach and goat cheese ,"Preheat oven to 180* C (350* F) Fan.,Remove the stems from the mushrooms and finely chop. Transfer to a bowl.,Use a spoon to remove the black part of the mushrooms and add them to the bowl.,Place a ,pan, over heat and add some olive oil.,Add the mushrooms and sauté on both sides.,Add pepper, salt, cognac, butter and thyme.,Transfer to a ,baking pan, and bake for 15 minutes.,Place a pan over heat. Add the olive oil, coarsely chopped onion, finely chopped garlic, mixture from bowl, salt and pepper. Sauté until golden.,Add the spinach and cook for 10 minutes, until all of the moisture evaporates. Remove spinach from heat.,Add the finely chopped dill and lemon zest.,Remove mushrooms from oven and stuff with the filling.,Add the goat cheese and cook under broiler for 5-10 minutes, until the cheese turns golden.,Serve with fresh basil leaves, lemon zest, pepper and olive oil."," 500 g spinach, leaves  , 500 g portobello mushrooms , 4 tablespoon(s) olive oil , salt , pepper , 50 g brandy , 2 tablespoon(s) butter , 4-5 sprig(s) thyme, fresh  , 1 onion, dried  , 1 clove(s) of garlic , dill , lemon zest, of 1 lemon , 200 g goat cheese , basil, fresh  , lemon zest, of 1 lemon  , pepper , olive oil ",Vegetables
Healthy chicken penne pasta (High protein),"In a ,pot, with boiling water, add salt and the penne pasta.,Boil according to the package directions.,Place a ,frying pan, over high heat.,Cut, each fillet horizontally, so that four thinner fillets are created, and spread salt, pepper, 1 tablespoon thyme, and olive oil.,Transfer into the hot frying pan and cook both sides for 3-4 minutes.,In a ,bowl,, add the yogurt, honey, mustard, salt, pepper, and mix with a spoon.,Add the corn, and the thyme and mint finely chopped.,Remove the chicken from the pan, cut it into strips, and add it to the bowl.,Drain the penne pasta, add them to the bowl, and mix.,Serve with mint, thyme, and olive oil."," 250 g penne, high protein , salt , 2 chicken breast fillet , 2 tablespoon(s) olive oil , pepper , 2 tablespoon(s) thyme , 300 g strained yogurt, 2% , 70 g honey , 1 tablespoon(s) mustard , 200 g corn , 1/4 bunch mint , mint , thyme , 1 tablespoon(s) olive oil ",Pasta
Ground sausage pasta,"Place a ,frying pan, over high heat.,Cut the sausage into large pieces and add them into a mixer, in batches. Process well until the sausage breaks down into very small pieces.,Transfer the sausage to the hot pan and sauté. If it’s not very fatty, you can add some olive oil.,Finely chop the garlic, the sage, and add them to the pan. Sauté for 1-2 minutes. ,At the same time, in a ,pot, with boiling water, add salt and the spaghetti. Boil according to the packet’s instructions.,Deglaze the pan with the wine and let it evaporate.,Add the heavy cream and let it boil for 2-3 minutes.,Transfer the spaghetti to the pan and, if needed, add one ladleful of the water where the pasta boiled. Mix and let them boil for 1 minute.,Finely chop the sundried tomatoes and add them to the pan. Add the spinach and mix.,Remove from the heat and serve with grated gruyere cheese and pepper."," 250 g sausage , 1 tablespoon(s) olive oil, optional , 3 clove(s) of garlic , 2 tablespoon(s) sage , salt , 250 g spaghetti , 100 g white wine , 200 g heavy cream 35% , 100 g sun-dried tomatoes , 100 g baby spinach , gruyere cheese , pepper ",Pasta
Chicken Bolognese with penne,"In a ,pot, with boiling salted water, add the penne and boil them according to the packet’s instructions.,At the same time, place a ,frying pan, over high heat and add the olive oil.,Add the carrot and the pepper into cubes, the onion, the chili pepper, and the garlic into small pieces, the sugar, the thyme, and mix. Sauté for 2-3 minutes until caramelized.,Add the ground chicken and mix until golden brown.,Add the cumin, the tomato paste, and sauté. Add the canned tomatoes, the stock, salt, pepper, the basil, the oregano, and stir.,Cover with the lid and simmer over low heat for 20-30 minutes.,Drain the penne, add them to the pan with the ground chicken, and mix.,Serve with grated mozzarella, pepper, olive oil, and oregano."," 500 g penne, whole wheat , 2 tablespoon(s) olive oil , 1 carrot , 1 green bell pepper , 1 onion , 1 chili pepper , 1 clove(s) of garlic , 1 pinch granulated sugar , 1 tablespoon(s) thyme , 700 g ground chicken , 1 teaspoon(s) cumin , 1 tablespoon(s) tomato paste , 400 g canned tomatoes , 400 g chicken stock , salt , pepper , 1 tablespoon(s) basil , 1 teaspoon(s) oregano , 50 g mozzarella , pepper , olive oil , oregano ",Pasta
Beef cannelloni,"Place a ,pot, over high heat and add the olive oil.,Coarsely ,chop, the onions and add them to the pot.,Finely chop the garlic and add to the pot.,Add the thyme and the 1 tablespoon of basil leaves. Mix with a wooden spoon.,Add the sugar, nutmeg and cinnamon. Sauté for 2-3 minutes to caramelize.,Add the tomato paste. Mix with a wooden spoon and scrape the bottom of the pan to sauté the tomato paste, until golden. This will help it lose its bitterness.,Add the wine and allow it to evaporate.,Add the canned tomatoes and oregano. Mix.,As soon as the mixture comes to a boil, add the remaining 1 tablespoon of basil leaves, salt and pepper.,Mix, remove from heat and set aside.,Place a pot over high heat and add 1 tablespoon of olive oil.,Add the ground meat and sauté for 3-4 minutes, until golden.,Add half of the tomato sauce to a baking pan and the remaining half to the pan with the ground meat.,Season with salt and pepper.,As soon as the liquid in the pan has evaporated, remove from heat and set aside.,Place a pot over medium heat.,Add the butter and whisk until it melts.,Add the flour and whisk until incorporated.,Add the milk in small batches, while continuously whisking so that no lumps form.,Season with salt and pepper. As soon as you see the first bubble appear in the mixture and the béchamel sauce thickens, remove from heat.,Add the egg yolks, nutmeg and 50 g parmesan. Whisk until incorporated.,Preheat oven to 180* C (350* F) Fan.,Place one cannelloni at a time in the pot and fill with mixture by using your hands.,Transfer each filled cannelloni to the ,baking pan,, placing them one next to the other over the tomato sauce.,Pour the béchamel sauce over them and spread it evenly with a spoon, making sure the whole surface of the cannelloni is completely covered.,Sprinkle with 50 g of parmesan and cover baking pan with parchment paper first and then with aluminum foil.,Bake for 30 minutes.,Uncover and bake again for 15 minutes, until golden.,When ready, remove from oven and allow to cool.,Serve with basil leaves."," 1 onion, dry  , 3-4 tablespoon(s) olive oil , 1 clove(s) of garlic , 1 tablespoon(s) thyme , 2 tablespoon(s) basil leaves , 1 pinch granulated sugar , 1/2 teaspoon(s) cinnamon , 1/2 teaspoon(s) nutmeg , 1 tablespoon(s) tomato paste , 50 g white wine , 1 beef bouillon cube , 800 g canned tomatoes , 1 tablespoon(s) oregano , salt , pepper , 1 tablespoon(s) olive oil , 1 kilo ground beef , salt , pepper , 100 g butter , 100 g all-purpose flour , 750 g milk , salt , pepper , 3 egg yolks , 1 pinch nutmeg , 50 g parmesan cheese, grated  , 250 g cannelloni , 50 g parmesan cheese, grated  , basil leaves ",Pasta
Healthy chicken and pasta frittata (high protein),"Preheat the oven to 180,ο, C (350,ο, F) set to fan.,Place a ,frying pan, over high heat.,Cut, the green and the red pepper into thin strips, the onion into thin slices, and add them to the pan.,Leave them for 1-2 minutes in the pan, without adding olive oil, to get a smoky flavor and aroma.,Add 2-3 tablespoons olive oil, salt, pepper, and sauté.,At the same time, in a ,pot, with boiling water add the spaghetti, salt, and boil according to the packet’s instructions.,In a bowl add the egg whites, the milk, and stir. Add salt, pepper, the oregano, half of the cheddar, the chicken cut into small pieces, the peppers and the onion from the pan, the baking powder, and mix with a serving spoon.,Drain the spaghetti, add them to the bowl, and mix well.,Spread 1 tablespoon olive oil into a 28 cm paella pan. Pour the mixture in and sprinkle with the remaining cheddar.,Add the cherry tomatoes cut in half, 1 tablespoon olive oil, pepper, and bake for 30 minutes.,Serve with oregano, pepper, and olive oil."," 1 green bell pepper , 1 red bell pepper , 1 onion , 4-5 tablespoon(s) olive oil , salt , pepper , 400 g spaghetti , 10 egg whites, from medium eggs , 100 g milk , 1 tablespoon(s) oregano , 200 g cheddar, light , 300 g chicken breast fillet, cooked , 1 tablespoon(s) baking powder , 100 g cherry tomatoes , oregano , pepper , olive oil ",Pasta
Quick Bolognese,"Place a ,deep nonstick pan, over high heat and let it get very hot.,Add 1 tablespoon of olive oil and ¼ of the ground meat, torn apart in to smaller pieces with your hands. Do not break it apart completely so that you bite in to large bits of ground meat.,Sauté until it is nicely caramelized on the outside. You do not need to cook it all the way through.,When ready, ,transfer, to a bowl and repeat the same process for another 3 batches of the ground meat and set aside.,Place the same pan over heat. Add the olive oil, onion, garlic, sugar and dry thyme. Sauté for at least 4-5 minutes, until the onion caramelizes.,Add the ground meat and tomato paste. Stir.,Add the wine and allow all of the alcohol to evaporate completely.,Add the water, bouillon cube, cinnamon stick, bay leaves, all spice and canned chopped tomatoes.,Lower heat, stir and simmer for at least 10 minutes.,While the meat sauce is cooking, prepare the pasta.,Cook the spaghetti in a ,pot, full of salted, boiling water. Boil according to the directions on the package, for about 5-6 minutes. You want the pasta to be al dente.,When ready, drain and set aside.,When the sauce has thickened, add the heavy cream. Stir and remove from heat.,Serve the spaghetti with 2 heaping spoonfuls of Bolognese, fresh parmesan, basil leaves and a generous amount of freshly ground pepper."," 6 tablespoon(s) olive oil , 750 g ground beef , 2 onions, finely chopped   , 1 clove(s) of garlic, thinly sliced  , 1 teaspoon(s) granulated sugar , 1 tablespoon(s) thyme, dry  , 2 tablespoon(s) tomato paste , 100 ml red wine , 200 ml water , 1 chicken bouillon cube , 1 stick(s) cinnamon , 2 bay leaves , 3 allspice berries , 400 g canned tomatoes , 500 g spaghetti , 100 ml heavy cream 35% , parmesan cheese, grated, for serving  ",Pasta
Healthy eggs Florentine with spaghetti (high protein),"Place a ,frying pan, over high heat and add the olive oil.,Finely chop the onion, the spring onions, and add them to the pan. ,Finely chop the dill, the mint, the garlic, and add them to the pan. Add salt, pepper, the spinach, and sauté for 6-7 minutes until the spinach is wilted.,At the same time, in a ,pot, with boiling water add salt, the spaghetti, and boil according to the packet’s instructions.,Add the heavy cream, the spaghetti, and the lemon zest into the pan, and mix.,Place a pot with water over medium and let it come to a boil.,In a small bowl add a little vinegar, crack one egg in, and add it to the pot. Follow the same process for the remaining eggs.,Serve the spaghetti with the poached eggs, olive oil, pepper, and parmesan."," 1 onion , 2 spring onions , 2 tablespoon(s) olive oil , 2 tablespoon(s) dill , 2 tablespoon(s) mint , 1 clove(s) of garlic , salt , pepper , 500 g baby spinach , 250 g light cream, or light cream cheese , lemon zest, of 1 lemon , 400 g spaghetti, high protein , 50 g vinegar , 4 eggs , olive oil , pepper , parmesan cheese ",Pasta
Light spaghetti souffle,"Place a ,frying pan, over medium heat until it gets very hot.,Cut the turkey into 2 cm cubes and the mushrooms into thin slices.,Add the turkey to the pan along with 2 tablespoons olive oil and sauté it for 3-4 minutes, until golden brown.,Remove the turkey from the pan and set it aside until needed.,Add the mushrooms to the pan along with 3 tablespoons olive oil, salt, pepper, and sauté them for 5-10 minutes, until they extract their juices and turn golden brown.,Finely chop the garlic, add it to the pan, and sauté for 1 more minute.,Remove the frying pan from the heat and set it aside.,In a ,bowl, add the heavy cream, the cream cheese, the eggs, salt, pepper, and whisk well.,Finely chop the thyme and the oregano, add them to the bowl and keep whisking.,Preheat the oven to 180° C (350° F) set to fan.,Boil the spaghetti in a ,pot, with salted water, according to the packet’s instructions.,Drain the pasta and transfer it to the bowl with the heavy cream.,Add the turkey, the mushrooms, the corn, and mix well with a serving spoon.,Add the pasta into a 40x28 cm ovenproof baking dish and spread the mixture -evenly- over the whole surface of the dish, using a serving spoon.,Sprinkle with the grated cheese and cover the baking dish with aluminum foil.,Bake in the oven for 20 minutes.,Remove the baking dish from the oven, take out the aluminum foil, and bake for 10 more minutes until the top is golden.,Remove from the oven and serve with fresh oregano."," 200 g smoked turkey, piece , 500 g champignon mushrooms , 5 tablespoon(s) olive oil , salt , pepper , 1 clove(s) of garlic , 300 g light cream , 300 g light cream cheese , 2 eggs, medium , 1 tablespoon(s) thyme , 1 tablespoon(s) oregano , 500 g spaghetti, n.5 whole-wheat , 100 g corn , 200 g light cheese, grated ",Pasta
Harissa eggplant halves,"Preheat the oven to 200,ο, C (390,ο, F) set to fan.,Cut, the eggplants in half and score the flesh in a crisscross manner without tearing the skin.,Add the olive oil, salt, pepper, and transfer them to a ,baking pan, lined with parchment paper, flesh-side down.,Roast for 30-40 minutes.,Halve the peppers and then seed them.,In a blender add the peppers, the paprika, the garlic, the coriander, the cumin, the olive oil, and beat well until the ingredients are homogenized and there is a paste.,Spread the paste over the flesh of the eggplants and roast for 20 more minutes.,Place a ,frying pan, over medium heat and add the pine nuts. Toast them for 1-2 minutes.,Remove the eggplants from the oven and sprinkle with the feta cheese.,Serve with rocket leaves, the pine nuts, cherry tomatoes, the green part of the spring onion, and olive oil."," 500 g eggplants , 3 tablespoon(s) olive oil , salt , pepper , 2 chili peppers , 1 tablespoon(s) paprika , 2 clove(s) of garlic , 1 tablespoon(s) coriander , 1 tablespoon(s) cumin , 50 g olive oil , 1 tablespoon(s) pine nuts , 100 g feta cheese , rocket , cherry tomatoes , 1 spring onion , olive oil ",Vegetables
Shrimp penne,"In a ,pot, with boiling water add salt, the penne, and boil according to the packet’s instructions. ,Place a ,frying pan, over high heat until it gets very hot. ,Put the shrimps into a bowl and add salt, pepper, and 2 tablespoons olive oil.,Transfer to the hot frying pan and sauté for 2-3 minutes until they are nicely golden. ,In the same pan, add whole chili peppers along with the cloves of garlic and sauté. ,Deglaze the pan with the ouzo, stir for 1 minute, and remove from the heat. ,Transfer the chili peppers and the garlic into a blender, add 2 tablespoons olive oil, and beat well. Add salt, pepper, the basil, the tahini, and beat well. Transfer the sauce into a bowl.,Then, drain the pasta, add it to the bowl with the sauce, and mix. ,Add lemon zest. If your mixture is quite thick, add 1 ladleful of the water where the penne boiled, and mix. Add the shrimps and mix everything together. ,Serve with olive oil, pepper, and basil. "," 300 g penne , salt , pepper , 1 kilo shrimps, jumbo , 4 tablespoon(s) olive oil , 2 chili peppers , 2 clove(s) of garlic , 50 g ouzo , 1/4 bunch basil , 100 g tahini , lemon zest, of 1 lemon , olive oil , pepper , basil ",Pasta
Smoked steak with hollandaise sauce ,"In a ,pot, with boiling water over medium heat, place a metal or glass bowl to create a bain-marie. ,In the bowl add the yolks, the vinegar, the water, and whisk well.,Add the mustard and whisk constantly until the mixture thickens and turns fluffy. ,When your mixture starts getting hot, remove it from the heat, and add the butter very slowly by constantly whisking.,Add salt, pepper, and mix. Cover with plastic wrap and set aside. The moment you want to use it, whisk it well. If your sauce is too thick, thin it with a little water.,Place a ,frying pan, over high heat.,Add olive oil, salt and pepper to your steaks, and transfer them to the hot pan. Sauté for 1 minute on each side until golden brown. Remove and set aside.,Line a pot with aluminum foil and make sure there are no gaps.,In the pot add the sugar, the cloves, the cinnamon, the pepper, the rosemary, and the oregano. Cover the ingredients with aluminum foil and prick its surface to allow the steam to escape.,Place a steaming basket into the pot and add the steaks. ,Cover the lid with aluminum foil and seal the pot well. Transfer over high heat. As soon as steam starts coming out of the pot, simmer at low heat for 8-10 minutes.,Place a frying pan over high heat and add the green beans.  Sauté for 1-2 minutes until they are golden.,Serve the steaks with the sauce, the green beans, mashed potatoes, pepper, and thyme."," 2 egg yolks, from medium eggs , 1 tablespoon(s) vinegar, white wine , 1 tablespoon(s) water , 1 teaspoon(s) mustard , 100 g butter, melted , salt , pepper , 600 g beef steaks, ribeye , 2 tablespoon(s) olive oil , salt , pepper , 300 g brown sugar , 4-5 cloves , 2 stick(s) cinnamon , 1 tablespoon(s) pepper , 4-5 sprig(s) rosemary , 4-5 sprig(s) oregano , 400 g green beans, boiled , 500 g ,mashed potatoes, , pepper , thyme ",Meats
Light ground turkey pasta bake – Pastitsio ,"Place a ,pot, over high heat and add the olive oil.,Add the onion, the carrot, the pepper and the garlic finely chopped, the cumin, and sauté for 1-2 minutes. ,Add the ground turkey, salt, pepper, and sauté for 1-2 minutes until the meat is golden brown.,Add the tomato paste and sauté. Add the canned tomatoes, the parsley finely chopped, and stir.,Simmer for 10 minutes on medium heat. Remove and set aside.,Place a pot over medium heat and add the olive oil. ,Add the flour and whisk well until the whole flour is absorbed.,Add the milk in batches by whisking constantly until it thickens and comes to a boil. Add the nutmeg, pepper, salt, and mix.,Turn off the heat and add the yolk, the cheese, and whisk until the cheese melts. ,In a pot with salted boiling water, add the bucatini. Boil for 2 minutes less than the packet’s instructions.,Remove from the heat and drain.,Preheat the oven to 180,ο, C (350,ο, F) set to fan.,Add the pasta into a 25x35 cm ovenproof baking dish. Add 100 g of the cheese, pepper, the parsley finely chopped, the egg and the egg white beaten, and mix well with a serving spoon.,Add a ladleful of the bechamel sauce into the ground turkey and mix. Spread the meat on top of the pasta. Make sure to cover the whole surface of the bucatini with the ground turkey.,Spread the whole bechamel sauce over the ground turkey, add 50 g cheese, and bake for 30-40 minutes until golden.,Serve with parsley."," 1-2 tablespoon(s) olive oil , 1 onion , 1 carrot , 1 red bell pepper , 1 clove(s) of garlic , 1 teaspoon(s) cumin , 800 g ground turkey , salt , pepper , 1 tablespoon(s) tomato paste , 400 g canned tomatoes , 1/4 bunch parsley , 100 g olive oil , 100 g all-purpose flour , 1 liter milk, light , 1 pinch nutmeg , salt , pepper , 1 egg yolk, from a medium egg  , 100 g light cheese , 500 g bucatini pasta, whole-wheat  , salt , 200 g light cheese , pepper , 1/4 bunch parsley , 1 egg, medium , 1 egg white, from a medium egg  , parsley ",Pasta
Roast chicken with saffron ,"Preheat the oven to 200° C (390° F) set to fan. ,In a ,baking pan, add the chicken, the vegetable bouillon powder, olive oil, and set it aside. ,Place a ,pot, over medium heat and add the butter, the flour, and whisk well. Add the milk in batches and whisk until the bechamel sauce thickens and comes to a boil.,Add the garlic grated, the saffron, the vegetable bouillon powder, and whisk. ,Spread the whole bechamel sauce over the chicken. ,In a mixer add the almonds, the bread, the rest of the garlic, the vegetable bouillon powder, the tarragon, the butter, and beat well.,Spread on top of the bechamel sauce and roast for 30 minutes. ,In a bowl add the lentils, the rice, the cherry tomatoes cut in half, olive oil, salt, pepper, white vinegar, mint, basil, mix, and serve."," 800 g chicken breast fillet , 1 tablespoon(s) vegetable bouillon powder , 1 tablespoon(s) olive oil , 50 g butter , 50 g all-purpose flour , 500 g milk , 1/3 clove(s) of garlic , 1/2 teaspoon(s) saffron , 1 level teaspoon(s) vegetable bouillon powder , 50 g almond slivers , 50 g breadcrumbs , 2/3 clove(s) of garlic , 1/2 teaspoon(s) vegetable bouillon powder , 1 tablespoon(s) tarragon , 50 g butter , 250 g lentils, boiled , 250 g basmati rice, boiled , 100 g cherry tomatoes , 2 tablespoon(s) olive oil , pepper , 1 teaspoon(s) vinegar , salt , 1 tablespoon(s) mint , 1 tablespoon(s) basil ",Meats
Greek Souvlaki Kebabs,"In a container add 5 tablespoons of white wine vinegar, 2 sprigs of rosemary and some sprigs of thyme. Soak the wooden skewers in this marinade for 1-2 hours so they won’t burn while the meat is cooking. They will also release a nice aroma while cooking (you can also use ,stainless steel skewers,).,Use a ,sharp knife, to help you remove the white membrane covering the top part of the pork loin. It is very important to remove this because it will remain tough no matter how long we cook it.,Cut the meat into equal sized pieces (2-3 cm thick). Cutting the meat in this ways helps the meat cook evenly.,Transfer to a deep ,baking pan, and set them aside.,Chop the onion into 4 pieces. Separate the onion layers and add them to the pan.,Finely chop the herbs (aromatics) and discard the stems. Add them to the pan.,Add 5 tablespoons of olive oil, 5 tablespoons of white wine vinegar, 2 cloves garlic, salt and pepper. Mix with a wooden spoon. You will notice that the color of the meat will turn white because of the vinegar. Set aside for at least 20 minutes. ,Then, thread the pieces of meat alternating with pieces of onion, onto the wooden skewers or the ,stainless steel skewers,.,Cook over a grill until they cook through and brown nicely and the onions are juicy and caramelized.,Serve with toasted ,pita bread,, tomatoes and ,tzatziki, sauce."," 800 g tenderloin , 1 onion, medium  , 4 sprig(s) rosemary , 3 sprig(s) thyme , 2 clove(s) of garlic, whole or crushed  , 5 tablespoon(s) olive oil , 5 tablespoon(s) vinegar, of white wine  , salt , pepper ,   ,souvlaki pita breads, ",Meats
Eggplant bites,"Peel the eggplants and cut them into 2 cm pieces.,Add the pieces into a ,bowl, and season with the salt. ,Mix and allow 30 minutes for the eggplant pieces to sweat and remove their bitterness. ,At the same time, prepare the breading ingredients. ,Add the flour into a bowl. In a second bowl add the eggs, and in a third bowl add the breadcrumbs with the parmesan and the pepper. ,Rinse the eggplant pieces well under running water and then, pat them dry with kitchen paper. ,Heat the sunflower oil in a deep ,frying pan, by filling it 5 cm high. ,Firstly, dredge the eggplant pieces into the flour so that they are completely coated, then dip them into the eggs, and finally dredge them in the breadcrumbs’ mixture. ,Fry the eggplant pieces in batches for 4-5 minutes, until golden on all sides, and then transfer them with a slotted spoon onto a plate with kitchen paper. ,Serve with ,tomato sauce, and sprinkle with fresh thyme."," 2 eggplants, medium  , 2 tablespoon(s) salt , 120 g all-purpose flour , 4 eggs, medium, lightly beaten , 200 g dry breadcrumbs , 100 g parmesan cheese, grated , pepper , sunflower oil, for the frying ,   ,tomato sauce,, to serve   , 1 tablespoon(s) thyme, fresh, to serve ",Vegetables
